DIAG,v1,0xaAA9bF0B573EB7Fe8506B323e20Ce070b881bBe4,2412,
FILL,v1,1780719546187000000,#1610,Buy,buy,0.982480,305.0000,0.000000,0.000000,0xe9b1a7c946a6459285d590d7f7992ac6
FILL,v1,1780725608521000000,#1610,Settlement,sell,1.000000,305.0000,0.000000,5.343600,
FILL,v1,1780891502371000000,#2200,Buy,buy,0.989830,21.0000,0.000000,0.000000,0x20237b07f859472fb93f81f4dab93be0
FILL,v1,1780891502371000000,#2200,Buy,buy,0.989840,282.0000,0.000000,0.000000,0x20237b07f859472fb93f81f4dab93be0
FILL,v1,1780896220726000000,#2230,Buy,buy,0.979990,306.0000,0.000000,0.000000,0x6fdea77473384e49928dbf0e98ce51b3
FILL,v1,1780898401735000000,#2200,Settlement,sell,1.000000,303.0000,0.000000,3.078690,
FILL,v1,1780898402866000000,#2230,Settlement,sell,1.000000,306.0000,0.000000,6.123060,
FILL,v1,1780964105842000000,#2280,Buy,buy,0.920000,26.0000,0.000000,0.000000,0xbaeb34f8dc0142a3a1a7db67913220c0
FILL,v1,1780964107822000000,#2280,Buy,buy,0.928490,276.0000,0.000000,0.000000,0xdc5aa2ed5d4c4a9592372bb77210c200
FILL,v1,1780981041541000000,#2250,Buy,buy,0.964460,282.0000,0.000000,0.000000,0xd7240cf71ba346c28f643757f6cf7bf7
FILL,v1,1780981041541000000,#2250,Buy,buy,0.964450,28.0000,0.000000,0.000000,0xd7240cf71ba346c28f643757f6cf7bf7
FILL,v1,1780984805229000000,#2250,Settlement,sell,1.000000,310.0000,0.000000,11.017680,
FILL,v1,1780984806309000000,#2280,Settlement,sell,1.000000,302.0000,0.000000,21.816760,
KLASS,v1,#2220,priceBucket
KLASS,v1,#2221,priceBucket
KLASS,v1,#2230,priceBucket
KLASS,v1,#2231,priceBucket
KLASS,v1,#2240,priceBucket
KLASS,v1,#2241,priceBucket
KLASS,v1,#2200,priceBinary
KLASS,v1,#2201,priceBinary
KLASS,v1,#2270,priceBucket
KLASS,v1,#2271,priceBucket
KLASS,v1,#2280,priceBucket
KLASS,v1,#2281,priceBucket
KLASS,v1,#2290,priceBucket
KLASS,v1,#2291,priceBucket
KLASS,v1,#2250,priceBinary
KLASS,v1,#2251,priceBinary
KLASS,v1,#1590,priceBinary
KLASS,v1,#1591,priceBinary
KLASS,v1,#1640,priceBinary
KLASS,v1,#1641,priceBinary
KLASS,v1,#1610,priceBucket
KLASS,v1,#1611,priceBucket
KLASS,v1,#1620,priceBucket
KLASS,v1,#1621,priceBucket
KLASS,v1,#1630,priceBucket
KLASS,v1,#1631,priceBucket
KLASS,v1,#1660,priceBucket
KLASS,v1,#1661,priceBucket
KLASS,v1,#1670,priceBucket
KLASS,v1,#1671,priceBucket
KLASS,v1,#1680,priceBucket
KLASS,v1,#1681,priceBucket
DIAG,v31,0xcfA66a727a42a4F287AaB24235f9DaA6D3367fbc,664,
FILL,v31,1780690291984000000,#1591,Buy,buy,0.850900,150.0000,0.000000,0.000000,0xac0893f5509749db82d37b9589592abb
FILL,v31,1780690293054000000,#1591,Buy,buy,0.856290,59.0000,0.000000,0.000000,0x29d7a6e7c93d452e86e7c24520dee8ee
FILL,v31,1780690294094000000,#1591,Buy,buy,0.850500,74.0000,0.000000,0.000000,0xbb035a155f1b44ee8ca09ed6aab4d94f
FILL,v31,1780690294094000000,#1591,Buy,buy,0.857990,40.0000,0.000000,0.000000,0xbb035a155f1b44ee8ca09ed6aab4d94f
